Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
Revenue % of GB,Airasiago MY,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Merchant,Hotel,17.419462%,16.950737%,17.188534%,17.126958%,17.068432%,17.096414%,16.976199%,16.885997%,16.835207%,16.768802%,16.843801%,16.782752%
GP % of GB,Airasiago MY,Merchant,Hotel,14.886905%,14.418180%,14.655977%,14.594401%,14.535874%,14.563857%,14.443642%,14.353439%,14.302649%,14.236245%,14.311244%,14.250195%
Revenue % of GB,Airasiago MY,Agency,Hotel,15.339966%,16.923273%,16.540367%,16.335220%,16.502593%,16.384805%,16.224265%,16.549290%,16.412970%,16.468662%,16.267335%,16.322177%
GP % of GB,Airasiago MY,Agency,Hotel,14.355363%,15.938670%,15.555764%,15.350617%,15.517990%,15.400202%,15.239662%,15.564687%,15.428367%,15.484059%,15.282732%,15.337574%
Revenue % of GB,Airasiago MY,Not Applicable,EPackage,6.193424%,6.242478%,6.878869%,6.184881%,9.793235%,6.716575%,6.095821%,5.965857%,6.565980%,5.946841%,5.954948%,6.874259%
GP % of GB,Airasiago MY,Not Applicable,EPackage,4.850954%,4.900008%,5.536399%,4.842411%,8.450765%,5.374106%,4.753351%,4.623387%,5.223511%,4.604371%,4.612478%,5.531789%
Revenue % of GB,Airasiago MY,Merchant,Tshop,17.458586%,18.459340%,17.505036%,17.377447%,17.353394%,16.819420%,16.899400%,16.771532%,16.915068%,16.674148%,16.413297%,16.401968%
GP % of GB,Airasiago MY,Merchant,Tshop,15.031641%,16.032394%,15.078090%,14.950502%,14.926448%,14.392474%,14.472454%,14.344586%,14.488123%,14.247202%,13.986351%,13.975022%
Revenue % of GB,Airasiago MY,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Agency,Flight,-0.095654%,-0.095654%,5.454199%,0.981493%,0.829194%,5.614417%,0.993151%,0.996371%,4.152283%,0.852459%,0.780054%,7.287543%
GP % of GB,Airasiago SG,Agency,Flight,-1.681409%,-1.681409%,3.868444%,-0.604262%,-0.756561%,4.028662%,-0.592604%,-0.589384%,2.566528%,-0.733296%,-0.805701%,5.701788%
Revenue % of GB,Airasiago SG,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Merchant,Hotel,15.351277%,14.790783%,15.780373%,15.684722%,15.693509%,15.679197%,15.689303%,15.636581%,15.661724%,15.603314%,15.665383%,15.499738%
GP % of GB,Airasiago SG,Merchant,Hotel,13.415081%,12.854587%,13.844178%,13.748526%,13.757313%,13.743002%,13.753108%,13.700385%,13.725528%,13.667119%,13.729187%,13.563542%
Revenue % of GB,Airasiago SG,Agency,Hotel,13.702123%,9.516159%,14.708218%,14.657231%,14.625768%,15.104812%,14.523137%,14.703515%,15.117389%,14.597886%,14.875202%,14.871085%
GP % of GB,Airasiago SG,Agency,Hotel,13.191056%,9.005091%,14.197151%,14.146164%,14.114701%,14.593745%,14.012070%,14.192448%,14.606322%,14.086819%,14.364135%,14.360018%
Revenue % of GB,Airasiago SG,Not Applicable,EPackage,5.181384%,4.812447%,2.688187%,2.376598%,4.524365%,2.455002%,2.315968%,2.580036%,2.639956%,2.205422%,1.985733%,2.340704%
GP % of GB,Airasiago SG,Not Applicable,EPackage,4.539248%,4.170310%,2.046050%,1.734461%,3.882229%,1.812865%,1.673832%,1.937899%,1.997820%,1.563286%,1.343597%,1.698568%
Revenue % of GB,Airasiago SG,Merchant,Tshop,19.462105%,16.623613%,15.602620%,19.027286%,17.125860%,17.677659%,17.001522%,15.390227%,13.920635%,14.141810%,14.841531%,16.203648%
